State,Petrol_Rate,Diesel_Rate,Date
Haryana,95.27,86.5,2021-11-16
Himachal Pradesh,94.77,79.59,2021-11-16
Jammu And Kashmir,99.42,83.16,2021-11-16
Jharkhand,98.63,91.66,2021-11-16
Karnataka,101.12,85.52,2021-11-16
Kerala,105.28,92.46,2021-11-16
Madhya Pradesh,108.22,91.8,2021-11-16
Maharashtra,110.6,93.36,2021-11-16
Manipur,99.77,84.21,2021-11-16
Meghalaya,93.93,80.78,2021-11-16
Mizoram,94.26,79.33,2021-11-16
Nagaland,96.92,83.68,2021-11-16
Odisha,102.89,92.66,2021-11-16
Pondicherry,94.69,83.39,2021-11-16
Punjab,95.35,84.15,2021-11-16
Rajasthan,111.02,95.64,2021-11-16
Sikkim,98.5,83.55,2021-11-16
Tamil Nadu,102.23,92.28,2021-11-16
Telangana,110.8,97.04,2021-11-16
Tripura,97.89,85.29,2021-11-16
Uttar Pradesh,94.93,86.43,2021-11-16
Uttarakhand,94.3,87.68,2021-11-16
West Bengal,105.74,90.77,2021-11-16
Andaman And Nicobar,82.96,77.13,2021-11-17
Andhra Pradesh,110.25,96.35,2021-11-17
Arunachal Pradesh,94.38,81.85,2021-11-17
Assam,95.26,81.8,2021-11-17
Bihar,107.88,92.92,2021-11-17
Chandigarh,94.23,80.9,2021-11-17
Chhatisgarh,102.54,94.43,2021-11-17
Dadra And Nagar Haveli,93.21,87.09,2021-11-17
Daman And Diu,93.1,86.97,2021-11-17
Delhi,103.97,86.67,2021-11-17
Goa,96.53,87.42,2021-11-17
Gujarat,95.13,89.12,2021-11-17
Haryana,95.47,86.69,2021-11-17
Himachal Pradesh,94.66,79.52,2021-11-17
Jammu And Kashmir,99.34,83.06,2021-11-17
Jharkhand,98.72,91.75,2021-11-17
Karnataka,100.85,85.28,2021-11-17
Kerala,105.17,92.36,2021-11-17
Madhya Pradesh,108.64,92.17,2021-11-17
Maharashtra,110.14,92.92,2021-11-17
Manipur,99.77,84.21,2021-11-17
Meghalaya,93.82,80.69,2021-11-17
Mizoram,94.5,79.55,2021-11-17
Nagaland,96.92,83.68,2021-11-17
Odisha,103.27,93.05,2021-11-17
Pondicherry,94.74,83.43,2021-11-17
Punjab,95.63,84.42,2021-11-17
Rajasthan,107.2,90.83,2021-11-17
Sikkim,98.5,83.55,2021-11-17
Tamil Nadu,102.27,92.31,2021-11-17
Telangana,109.99,96.28,2021-11-17
Tripura,97.37,84.81,2021-11-17
Uttar Pradesh,95.05,86.56,2021-11-17
Uttarakhand,94.26,87.54,2021-11-17
West Bengal,105.93,90.95,2021-11-17
Andaman And Nicobar,82.96,77.13,2021-11-19
Andhra Pradesh,109.74,95.87,2021-11-19
Arunachal Pradesh,94.84,82.28,2021-11-19
Assam,95.26,81.8,2021-11-19
Bihar,107.97,93.0,2021-11-19
Chandigarh,94.23,80.9,2021-11-19
Chhatisgarh,102.54,94.43,2021-11-19
Dadra And Nagar Haveli,93.21,87.09,2021-11-19
Daman And Diu,93.1,86.97,2021-11-19
Delhi,103.97,86.67,2021-11-19
Goa,96.45,87.34,2021-11-19
Gujarat,95.13,89.12,2021-11-19
Haryana,95.27,86.51,2021-11-19
Himachal Pradesh,94.42,79.32,2021-11-19
Jammu And Kashmir,100.1,83.71,2021-11-19
Jharkhand,99.08,92.11,2021-11-19
Karnataka,101.21,85.61,2021-11-19
Kerala,105.06,92.25,2021-11-19
Madhya Pradesh,108.06,91.65,2021-11-19
Maharashtra,110.24,93.02,2021-11-19
Manipur,99.77,84.21,2021-11-19
Meghalaya,93.09,80.07,2021-11-19
Mizoram,94.5,79.55,2021-11-19
Nagaland,96.92,83.68,2021-11-19
Odisha,104.05,93.78,2021-11-19
Pondicherry,94.65,83.34,2021-11-19
Punjab,95.65,84.44,2021-11-19
Rajasthan,106.92,90.57,2021-11-19
Sikkim,98.5,83.55,2021-11-19
Tamil Nadu,102.33,92.37,2021-11-19
Telangana,110.8,97.04,2021-11-19
Tripura,97.37,84.81,2021-11-19
Uttar Pradesh,95.05,86.56,2021-11-19
Uttarakhand,94.09,87.52,2021-11-19
West Bengal,105.47,90.52,2021-11-19
Andaman And Nicobar,82.96,77.13,2021-11-23
Andhra Pradesh,110.46,96.54,2021-11-23
Arunachal Pradesh,94.38,81.85,2021-11-23
Assam,95.26,81.8,2021-11-23
Bihar,107.53,92.6,2021-11-23
Chandigarh,94.23,80.9,2021-11-23
Chhatisgarh,103.0,94.88,2021-11-23
Dadra And Nagar Haveli,93.21,87.09,2021-11-23
Daman And Diu,93.1,86.97,2021-11-23
Delhi,103.97,86.67,2021-11-23
Goa,96.22,87.11,2021-11-23
Gujarat,95.27,89.25,2021-11-23
Haryana,95.3,86.53,2021-11-23
Himachal Pradesh,94.47,79.36,2021-11-23
Jammu And Kashmir,99.41,83.14,2021-11-23
Jharkhand,98.59,91.62,2021-11-23
Karnataka,101.22,85.61,2021-11-23
Kerala,105.33,92.51,2021-11-23
Madhya Pradesh,108.64,92.18,2021-11-23
Maharashtra,109.67,92.46,2021-11-23
Manipur,99.87,84.3,2021-11-23
Meghalaya,93.93,80.78,2021-11-23
Mizoram,94.5,79.55,2021-11-23
Nagaland,97.01,83.77,2021-11-23
Odisha,103.28,93.03,2021-11-23
Pondicherry,94.69,83.39,2021-11-23
Punjab,95.24,84.05,2021-11-23
Rajasthan,107.03,90.67,2021-11-23
Sikkim,98.5,83.55,2021-11-23
Tamil Nadu,102.41,92.45,2021-11-23
Telangana,110.51,96.77,2021-11-23
Tripura,97.71,85.13,2021-11-23
Uttar Pradesh,95.22,86.72,2021-11-23
Uttarakhand,94.26,87.49,2021-11-23
West Bengal,105.21,90.28,2021-11-23
Andaman And Nicobar,82.96,77.13,2021-11-24
Andhra Pradesh,109.74,95.87,2021-11-24
Arunachal Pradesh,94.66,82.12,2021-11-24
Assam,94.95,81.57,2021-11-24
Bihar,108.4,93.41,2021-11-24
Chandigarh,94.23,80.9,2021-11-24
Chhatisgarh,101.83,93.04,2021-11-24
Dadra And Nagar Haveli,93.21,87.09,2021-11-24
Daman And Diu,93.02,86.9,2021-11-24
Delhi,103.97,86.67,2021-11-24
Goa,96.8,87.68,2021-11-24
Gujarat,95.0,88.98,2021-11-24
Haryana,95.39,86.61,2021-11-24
Himachal Pradesh,94.47,79.36,2021-11-24
Jammu And Kashmir,99.41,83.14,2021-11-24
Jharkhand,98.72,91.75,2021-11-24
Karnataka,101.19,85.59,2021-11-24
Kerala,105.06,92.25,2021-11-24
Madhya Pradesh,108.64,92.18,2021-11-24
Maharashtra,110.17,92.94,2021-11-24
Manipur,99.87,84.3,2021-11-24
Meghalaya,93.09,80.07,2021-11-24
Mizoram,94.5,79.55,2021-11-24
Nagaland,97.01,83.77,2021-11-24
Odisha,103.28,93.03,2021-11-24
Pondicherry,94.69,83.39,2021-11-24
Punjab,95.24,84.05,2021-11-24
Rajasthan,107.03,90.67,2021-11-24
Sikkim,98.5,83.55,2021-11-24
Tamil Nadu,102.41,92.45,2021-11-24
Telangana,110.51,96.77,2021-11-24
Tripura,97.71,85.13,2021-11-24
